,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5,long,lat
264,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58.5,65.5
265,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58.5,66.5
266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,67.5
267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,68.5
268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,69.5
269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,75.5
270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,76.5
271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,77.5
272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,78.5
273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,79.5
274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,80.5
275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,81.5
276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,82.5
277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,83.5
278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,84.5
279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,85.5
280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,86.5
281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,88.5
282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,90.5
283,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58.5,91.5
284,100.0,100.0,96.59,96.59,96.04,96.01,96.01,96.01,96.01,58.5,92.5
285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,93.5
286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,96.5
287,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58.5,97.5
288,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,58.5,98.5
289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,99.5
290,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58.5,100.5
291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,101.5
292,0.0,73.93,63.63,56.0,46.27,46.27,46.24,46.24,46.24,57.5,-117.5
293,100.0,50.87,39.52,34.52,34.19,34.19,34.19,34.19,34.19,57.5,-116.5
294,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,57.5,-115.5
295,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,57.5,-7.5
296,73.42,35.06,28.14,26.47,64.63,85.54,85.97,85.68,82.91,57.5,-4.5
